Glon       Glat    Name     RA50deg    DE50deg
118.6218 -52.7266 3C18      009.5610 +09.7822
129.4392 -49.3432 3C33-1    016.5514 +13.0421
129.4481 -49.3244 3C33      016.5593 +13.0602
129.4620 -49.2774 3C33-2    016.5735 +13.1060
157.7658 -48.2032 3C64      034.8314 +08.2219
170.2162 -44.9112 3C75-1    043.7501 +05.8638
170.2558 -44.9111 3C75      043.7714 +05.8455
170.2958 -44.9192 3C75-2    043.7876 +05.8208
174.8581 -44.5130 3C78      046.4547 +03.9205
164.1487 -34.4565 3C79      046.7976 +16.9099
166.6357 -33.5961 CTA21     049.0380 +16.2944
176.9818 -40.8433 P0320+05  050.1730 +05.3927
159.0002 -18.7646 NRAO140   053.3442 +32.1435
160.0361 -15.9147 3C93.1    056.3980 +33.7349
182.2737 -35.7311 P0347+05  056.7805 +05.7094
179.8593 -31.0859 3C98-1    059.0301 +10.2564
179.8374 -31.0490 3C98      059.0459 +10.2947
179.8288 -31.0241 3C98-2    059.0601 +10.3166
187.6326 -33.6090 3C105     061.1868 +03.5572
181.8280 -27.7769 3C109     062.7293 +11.0766
176.8082 -18.5568 P0428+20  067.0276 +20.5200
190.3728 -27.3973 3C120     067.6313 +05.2497
170.5815 -11.6608 3C123     068.4801 +29.5705
171.4368 -07.7967 3C131     072.5442 +31.4089
178.8598 -12.5219 3C132     073.4267 +22.7450
177.7258 -09.9125 3C133     074.9759 +25.2033
187.4052 -11.3437 3C138     079.5688 +16.5905
174.5324 -01.3112 3C141.0   080.8654 +32.7933
181.3551 -05.1933 T0526+24  081.5234 +24.9753
197.6157 -14.5115 3C142.1   082.2001 +06.4711
186.7634 -07.1085 P0531+19  082.9476 +19.4217
190.0893 -02.1665 T0556+19  089.2451 +19.1461
188.0524 +00.0470 4C22.12   090.2105 +22.0150
185.5932 +04.0030 3C154     092.6784 +26.0908
201.5315 +00.5079 T0629+10  097.3726 +10.4045
207.3119 +01.1529 3C167     100.6530 +05.5800
191.2045 +13.4105 3C172.0   104.7667 +25.3017
209.7960 +16.5911 DW0742+10 115.7009 +10.3092
207.6242 +21.8412 3C190.0   119.6880 +14.3839
197.9126 +26.4098 3C192     120.6463 +24.3095
201.3636 +29.6761 P0820+22  125.1180 +22.5462
212.9680 +30.1390 3C207     129.5076 +13.3851
213.6628 +33.1608 3C208.0   132.5976 +14.0712
213.6015 +33.5830 3C208.1   132.9751 +14.2878
188.4047 +48.6590 3C223     144.2109 +36.1281
219.8664 +44.0247 3C225a    144.8551 +14.0934
220.0116 +44.0083 3C225b    144.8847 +13.9917
220.8313 +46.6355 3C228.0   147.5960 +14.5664
200.2050 +52.7049 3C234     149.7368 +29.0279
190.0640 +53.9808 3C236     150.7729 +35.1470
232.1174 +46.6276 3C237     151.3422 +07.7495
233.1247 +56.3009 3C245     160.0255 +12.3209
222.5101 +63.1302 P1055+20  163.9059 +20.1340
240.4380 +65.7884 P1117+14  170.1573 +14.5927
228.2701 +74.3753 3C263.1   175.9347 +22.3471
236.9959 +73.6422 3C264.0   176.3725 +19.8700
256.3418 +70.1102 3C267.0   177.5378 +13.0287
280.6321 +74.6873 3C272.1   186.3269 +13.1230
289.9484 +64.3586 3C273     186.6372 +02.3276
269.8744 +83.1637 3C274.1   188.2377 +21.6184
322.2286 +68.8350 4C07.32   199.1347 +07.2668
067.2401 +81.0438 4C32.44   200.9947 +32.1648
056.5295 +80.6740 3C286     202.2073 +30.7673
054.6071 +76.0603 3C293     207.5120 +31.6954
008.9924 +73.0418 4C19.44   208.6752 +19.5623
020.1848 +66.8341 4C20.33   216.3787 +20.2199
038.5004 +60.2098 3C310     225.7002 +26.2101
039.3605 +58.3030 3C315     227.8794 +26.3104
029.9821 +54.7856 3C318     230.1642 +20.4280
037.3001 +42.9721 3C333     243.7714 +21.2476
022.9710 +29.1769 3C348     251.9312 +05.1267
021.1108 +19.8770 3C353     259.2289 -00.8905
039.3151 +17.7180 4C13.65   269.0553 +13.4783
043.4971 +09.1540 4C13.67   278.8032 +13.4678
063.3985 -06.1223 3C409     303.0762 +23.4283
069.2090 -03.7684 3C410     304.5141 +29.5433
074.4772 -17.6950 3C433     320.3778 +24.8549
088.1001 -35.9413 3C454.0   342.9866 +18.6268
086.1110 -38.1833 3C454.3   342.8727 +15.8821
